,language,title,timestamp,user,action,comment,type,level,expiry,article
120,uk,Богдан Хмельницький,2015-12-10 16:22:17,Fessor,modify,популярна стаття,"['edit', 'move']","['autoconfirmed', 'sysop']",2029-12-31 23:59:59,Bohdan_Khmelnytsky
121,uk,Богдан Хмельницький,2014-02-23 10:07:27,Aced,modify,частий вандалізм,,,2014-03-09 10:07:00,Bohdan_Khmelnytsky
122,uk,Богдан Хмельницький,2013-10-16 21:13:58,Aced,protect,важлива сторінка,,,2029-12-31 23:59:59,Bohdan_Khmelnytsky
123,ru,"Хмельницкий, Богдан Михайлович",2024-06-03 08:22:22,QBA-bot,protect,повторяющиеся [[ВП:КОНС|неконсенсусные]] правки,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2024-06-10 08:22:00,Bohdan_Khmelnytsky
124,ru,"Хмельницкий, Богдан Михайлович",2024-05-01 16:01:19,QBA-bot,protect,повторяющиеся [[ВП:КОНС|неконсенсусные]] правки,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2024-05-08 16:01:00,Bohdan_Khmelnytsky
125,ru,"Хмельницкий, Богдан Михайлович",2022-04-01 23:09:28,Oleg Yunakov,protect,частый [[ВП:В|вандализм]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2022-05-01 23:09:00,Bohdan_Khmelnytsky
126,ru,"Хмельницкий, Богдан Михайлович",2022-02-05 15:49:05,Deinocheirus,protect,частый [[ВП:В|вандализм]],"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2022-02-19 15:49:00,Bohdan_Khmelnytsky
127,ru,"Хмельницкий, Богдан Михайлович",2022-01-16 09:05:31,QBA-bot,protect,повторяющиеся [[ВП:КОНС|неконсенсусные]] правки,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2022-01-23 09:05:00,Bohdan_Khmelnytsky
128,ru,"Хмельницкий, Богдан Михайлович",2021-01-18 17:07:20,Юрий Владимирович Л.,protect,частый [[ВП:В|вандализм]],['edit'],['autoconfirmed'],2021-01-19 17:07:00,Bohdan_Khmelnytsky
129,ru,"Хмельницкий, Богдан Михайлович",2020-11-29 19:45:02,QBA-bot,protect,повторяющиеся [[ВП:КОНС|неконсенсусные]] правки,"['edit', 'move']","['autoconfirmed', 'autoconfirmed']",2020-12-06 19:45:00,Bohdan_Khmelnytsky
